;1 de enero de  2014;1 de enero de  2013;1 de enero de  2012;1 de enero de  2011;1 de enero de  2010;1 de enero de  2009;1 de enero de  2008;1 de enero de  2007;1 de enero de  2006;1 de enero de  2005;1 de enero de  2004;1 de enero de  2003;1 de enero de  2002;1 de enero de  2001;1 de enero de  2000;1 de enero de  1999;1 de enero de  1998;1 de enero de  1997;1 de enero de  1996;1 de enero de  1995;1 de enero de  1994;1 de enero de  1993;1 de enero de  1992;1 de enero de  1991;1 de enero de  1990;1 de enero de  1989;1 de enero de  1988;1 de enero de  1987
Menores de 1;424880.5613;453294.3938;475602.773;484003.6351;493973.8663;519524.9152;493917.5266;483683.2079;466983.6387;455203.8532;443075.9615;419433.457;411693.1766;395790.0909;379648.5882;365367.2174;367200.5862;361026.2857;362924.8049;368535.2979;384355.1321;395546.6102;390956.0469;390639;401255;410145.1053;420692.36;432682.2258
1 a 4 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 4 años;2320611.879;2422765.894;2476593.442;2498448.874;2496689.475;2475417.286;2407249.668;2328885.929;2253357.122;2183845.908;2108613.997;2020071.673;1938555.851;1878251.693;1844326.949;1831653.956;1850440.424;1880003.368;1911263.909;1941532.986;1970433.337;1982359.016;1992603.594;2020809.885;2090659.437;2173366.19;2251456.942;2347350.46
5 a 9 años;2478498.242;2440531.13;2397809.72;2347839.772;2306649.254;2255149.584;2182623.882;2112169.777;2039808.506;1979492.161;1938863.183;1917161.36;1910397.302;1936053.416;1971389.874;2007748.079;2029504.63;2044316.156;2071969.172;2116230.234;2179260.906;2253668.016;2348833.656;2455768.484;2578499.659;2700453.81;2844145.392;2968999.769
10 a 14 años;2267842.734;2226701.931;2202538.024;2167409.656;2130453.565;2104756.147;2092497.07;2084731.121;2087104.218;2098364.569;2116222.599;2115983.79;2104084.345;2130255.453;2175456.453;2233747.094;2305261.422;2400757.594;2510010.406;2628077.922;2744152.359;2879081.984;2989760.25;3105460.077;3207688.016;3278116.819;3308503.278;3331747.896
15 a 19 años;2140570.382;2165608.838;2199411.738;2228086.51;2264336.82;2303352.181;2319627.277;2303353.769;2308988.242;2331217.492;2363147.382;2402092.433;2460958.561;2564645.344;2689803.516;2816144.641;2959303.578;3079537.75;3194846.656;3281437.547;3337724.188;3351032.641;3359056.906;3336513.699;3315782.899;3293094.502;3277357.97;3270676.937
20 a 24 años;2374616.581;2443635.21;2503812.976;2568266.904;2654032.478;2750801.386;2813360.85;2842512.506;2906066.377;2986660.941;3058029.995;3144913.465;3188621.94;3283145.094;3367508.391;3423837.813;3432865.297;3432061.344;3401325.406;3363658.313;3324412.438;3291741.188;3263181.125;3236524.08;3233932.797;3252912.48;3252976.485;3224165.918
25 a 29 años;2749307.648;2899633.151;3065914.174;3225924.132;3402285.733;3566229.446;3686181.945;3718522.076;3757855.921;3759734.761;3722159.944;3642255.576;3531344.796;3468272.344;3426132.938;3383290.563;3349759.063;3322291.875;3294173.703;3270075.625;3261506.141;3227594.813;3163849.109;3105050.679;3080194.09;3026947.903;2989064.946;2957672.718
30 a 34 años;3456207.702;3684777.19;3869456.126;4008885.166;4099015.457;4148571.245;4095385.417;3985376.325;3866460.826;3746923.316;3620011.206;3514013.729;3404172.494;3356503.672;3333745.875;3327011.859;3292784.938;3230077.766;3166814.531;3113046.328;3033902.719;2974405.297;2927029.109;2857668.329;2782768.421;2702627.333;2630891.07;2570653.969
35 a 39 años;4032769.852;4077121.688;4091219.412;4049367.963;3998273.218;3937311.521;3861340.78;3756270.507;3664444.908;3581130.926;3516089.408;3431383.631;3314866.832;3235862.219;3180387.234;3098212.281;3036150.016;2985178.766;2909829.797;2814099.891;2715044.781;2630706.344;2560445.391;2498968.845;2455038.446;2449296.561;2470373.756;2446823.49
40 a 44 años;3858819.118;3854668.958;3846087.489;3808222.502;3771057.528;3748719.45;3675329.965;3556309.527;3450888.773;3358469.997;3238107.224;3142952.642;3053247.941;2963358.828;2863605.922;2759246.219;2670548.281;2595888.734;2528657.313;2470083.531;2453643.109;2462160.203;2426827.688;2405834.467;2430375.508;2409787.316;2357951.212;2288871.634
45 a 49 años;3689865.727;3668177.093;3610981.829;3541523.357;3480003.235;3389584.047;3307260.34;3215986.71;3107603.039;2981318.613;2848187.709;2733994.15;2631720.276;2553304.188;2489824.094;2470891.891;2476209.484;2437889.813;2413641.594;2427641.797;2397072.859;2337807.109;2262070.094;2178990.276;2163308.166;2019679.171;1923598.407;1936356.214
50 a 54 años;3333371.781;3284958.235;3238286.909;3154524.021;3049953.237;2937165.532;2831512.953;2727506.665;2635662.556;2552773.401;2514061.185;2500758.004;2443557.866;2412495.656;2423346.141;2390357.141;2329059.953;2252538.656;2167481.688;2144704.594;1994932.328;1892518;1898162.938;1989121.735;1976830.804;2121666.638;2242963.882;2315074.819
55 a 59 años;2877802.651;2794943.22;2720823.392;2645890.515;2578224.547;2555046.384;2550182.671;2495179.192;2455237.38;2449833.311;2400402.299;2324147.846;2233398.515;2142934.813;2119782.281;1971325.672;1869978;1875549.563;1960383.953;1940736.484;2075450.469;2185634.438;2247677.063;2240908.558;2266664.598;2268208.758;2250893.207;2209478.796
60 a 64 años;2491892.219;2502288.82;2467242.535;2439789.152;2445246.665;2409200.685;2340093.822;2250695.277;2152340.858;2116687.272;1956883.402;1845268.947;1839797.353;1913810.422;1893180.203;2024331.531;2129014.813;2186046.438;2177463.5;2192040.484;2185554.641;2162297;2119065.313;2101712.155;2060793.748;2037452.277;2001939.171;1990838.404
65 a 69 años;2327434.058;2268893.837;2192458.899;2103622.319;2074945.2;1925904.202;1820844.742;1814780.65;1877273.147;1845266.418;1960789.076;2050581.875;2094703.776;2081613.5;2090117.203;2079981.359;2053243;2006898.188;1984650.313;1940044.516;1913565.859;1879383.688;1868107.547;1828116.724;1785002.06;1702386.795;1629756.874;1542160.473
70 a 74 años;1809958.392;1713639.731;1710593.741;1768963.395;1738573.1;1849427.328;1931743.57;1970605.052;1953117.37;1952886.03;1933356.147;1900277.642;1848742.855;1819853.188;1772620.797;1743525.141;1705970.563;1690328.828;1648980.359;1607983.047;1532899.719;1466112.984;1386549.719;1324303.306;1277871.916;1275383.634;1267651.247;1274373.368
75 a 79 años;1652238.242;1726105.439;1760622.333;1743238.746;1737790.539;1717094.485;1682845.334;1632501.173;1598980.921;1550360.168;1514051.622;1472067.171;1448082.104;1403665.766;1363280.891;1298054.281;1239185.578;1168446.031;1113121.734;1071154.453;1065040.359;1055074.828;1054883.828;1052545.114;1050289.145;1035511.333;1021174.755;997808.7313
80 a 84 años;1403259.93;1369207.379;1324627.979;1291221.156;1243185.074;1207916.547;1167722.471;1142986.377;1099544.25;1061778.039;1000755.388;947508.5826;884323.28;835891.3906;800627.6094;796683.6406;787930.3594;785138.7969;780130.3125;772643.6875;755960.7813;739608.5;715365.6563;696347.4353;673951.752;653102.1397;632284.8307;612678.6169
85 a 89 años;825181.6051;791816.7257;773196.8916;738660.3658;704707.5563;660311.522;618801.1078;572412.7056;532468.9532;504012.4095;493412.7816;484748.4324;478010.6821;471608.1875;464857.0625;456710.2188;445670.5;428620.5938;413224.0781;394400.6875;376714.5625;360660.0469;346234.9375;332333.0957;320829.4747;303088.6517;283833.7705;261621.5009
90 a 94 años;333078.8783;308963.5734;285553.6265;261705.1511;241440.3516;232968.7448;224465.5973;218687.3378;211061.7172;206299.2889;197985.1184;192367.5187;183835.0203;175654.2969;166590.0625;159887.4375;152274.2656;144831.5625;137524.5;129669.0781;120639.5938;111773.8906;101222.4375;94979.75564;84427.86775;81474.97469;76933.44253;73110.8985
95 a 99 años;75266.70682;71365.97852;70221.28018;66296.11665;61931.98005;57447.155;53502.38118;49451.21755;46318.43357;44215.0785;41487.50128;40566.1644;38580.38138;35278.5;31600.48438;29084.40625;26350.04688;22788.0625;20475.9375;17960.03125;17929.125;17616.34375;17539.70313;16518.64471;15091.7229;14597.2641;14495.72686;14049.59151
100 a 104 años;12010.90954;10828.66233;9761.136687;8535.981338;7219.171411;6320.132852;5845.643223;5262.683281;4934.562991;4756.222745;4623.210568;4525.429098;4084.284115;3087;1997.75;1842.359375;1944.8125;2138.796875;2405.0625;2505.21875;2648.515625;2798.09375;2870.125;2940.290441;3226.397185;3145.855975;3331.151511;3537.706239
105 a 109 años;1343.663949;1071.583529;883.093037;647.554574;537.051544;535.511297;487.363971;438.952356;426.815592;288.519632;205.774989;193.559279;184.404861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110 y más años;250.037064;185.796728;119.043425;105.260293;69.775402;40.183181;33.43337;33.271252;23.700332;20.218491;8.025059;2.009958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mas de 95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
